language,lower.ci,corr,upper.ci
english,0.609064077,0.660054448,0.705927696
afrikaans,0.4713691,0.536195309,0.594806426
albanian,0.166811783,0.250572705,0.334984523
arabic,0.080737319,0.164882675,0.245947903
armenian,0.337284442,0.415663261,0.491091966
azerbaijani,0.194821622,0.282797384,0.364770006
basque,0.342402669,0.416244056,0.487784821
belarusian,0.326838038,0.408573138,0.486338946
bengali,0.080245048,0.170295782,0.28206543
bosnian,0.354714238,0.427151381,0.498763556
bulgarian,0.323216961,0.408321315,0.489980708
catalan,0.320363224,0.401667929,0.477073952
cebuana,0.147121375,0.240255267,0.331921448
chinese,0.281086218,0.353643189,0.423548205
croatian,0.356250085,0.427731866,0.498658949
czech,0.276489411,0.359396615,0.444288518
danish,0.432862446,0.510838791,0.580541469
dutch,0.398404812,0.474020627,0.546243996
espernto,0.374677948,0.445257971,0.508748031
estonian,0.321188762,0.401016262,0.475457643
filipino,0.259719799,0.334969299,0.406635107
finnish,0.245454567,0.32625017,0.404117728
french,0.297343418,0.381641634,0.462767514
galician,0.358213399,0.43620652,0.507362203
georgian,0.306258002,0.391881002,0.475493814
german,0.369570647,0.448203925,0.521399007
greek,0.240411529,0.323271874,0.402958965
gujarati,0.21765108,0.298837256,0.380540571
haitian.creole,0.250356083,0.33031596,0.40665549
hausa,0.237158912,0.328842723,0.418412822
hebrew,0.201021073,0.296163843,0.378252004
hindi,0.281176714,0.354888164,0.429237581
hmong,0.242561423,0.337944774,0.432023579
hungarian,0.305312328,0.390903826,0.470675977
icelandic,0.340609835,0.421573054,0.502662143
igbo,0.028022811,0.122218318,0.216483206
indonesian,0.217042415,0.303425425,0.38576502
irish,0.251269748,0.335563188,0.422490565
italian,0.347523776,0.42946793,0.505284087
japanese,0.018227111,0.107663595,0.195976427
javanese,0.150322406,0.238677534,0.322944669
kanada,0.117792891,0.212095376,0.313156554
khmer,0.252038429,0.329159327,0.40315513
korean,0.097872201,0.175946116,0.251454793
lao,0.237052343,0.337086992,0.43147949
latin,0.054593582,0.132764888,0.224394864
latvian,0.302290667,0.379233079,0.4527862
lithuanian,0.234278544,0.32680553,0.415421385
macedonian,0.408707041,0.483938497,0.552597721
malay,0.187109022,0.268788194,0.349801877
maltese,0.426581962,0.510878313,0.584302124
maori,0.12979158,0.212276126,0.297338153
marathi,-0.028338514,0.046197427,0.131875531
mongolian,0.262683117,0.341242984,0.41894141
nepali,0.293131736,0.374875824,0.458412474
norwegian,0.440177371,0.521978579,0.59289871
persian,-0.005666004,0.072154253,0.162007532
polish,0.287959812,0.368976078,0.445592309
portuguese,0.375260494,0.451696463,0.527581967
punjabi,0.203248049,0.298064442,0.391908531
romanian,0.251120231,0.342639278,0.431354385
russian,0.373909727,0.449202464,0.517776195
serbian,0.377867933,0.452083273,0.525255252
slovak,0.264557586,0.348116332,0.428767709
slovenian,0.257905583,0.373026298,0.489870922
somali,0.10284502,0.182521272,0.259333025
spanish,0.312671573,0.395886944,0.472968741
swahili,0.223255288,0.320511025,0.414200737
swedish,0.330667078,0.414008054,0.497664236
tamil,0.095660253,0.168881472,0.249434476
telugu,0.068787589,0.168289451,0.271290958
thai,0.29560645,0.368569803,0.445056478
turkish,0.121930338,0.206613543,0.290176589
ukranian,0.288599363,0.370872167,0.449764507
urdu,0.066481004,0.160483448,0.254176917
vietnamese,0.25649561,0.334961762,0.412594642
welsh,0.347115763,0.423136802,0.494673639
yiddish,0.427140299,0.501937634,0.571420374
yoruba,0.110313637,0.20765078,0.305727986
zulu,0.130650006,0.235980046,0.338848251